"id","datestamp","dateend","title","description","region","incentive_id","incentive_name","created_at","updated_at"
1,"2019-08-14","2019-08-15","Melbourne Product Challenge Event - POSTPONED","","All",0,,,
2,"2019-08-08","2019-08-09","Launceston Product Challenge Event - POSTPONED","","All",0,,,
3,"2019-08-06","2019-08-07","Sydney Product Challenge Event - CANCELLED","","All",0,,,
4,"2019-07-26","2019-07-27","Townsville Product Challenge Event - POSTPONED","","All",0,,,
5,"2019-07-23","2019-07-24","Brisbane Product Challenge Event - POSTPONED","","All",0,,,
6,"2019-07-18","2019-07-19","Perth Product Challenge Event - POSTPONED","","All",0,,,
7,"2019-07-16","2019-07-17","Adelaide Product Challenge Event - POSTPONED","","All",0,,,
8,"2019-07-31","2019-09-30","Aug-Sep QASHQAI Fast Finish Incentive - Fleet Sales","","All",0,,,
9,"2019-10-18","2019-10-21","The Guild - Hobart Trip","","All",0,,,
10,"2019-11-04","2019-11-05","Melbourne Cup Day - (Vic metro only)","","Southern",0,,,
11,"2019-12-24","2019-12-25","Christmas Day","","All",0,,,
12,"2019-12-25","2019-12-26","Boxing Day","","All",0,,,
13,"2019-04-30","2019-05-01","i_ELITE 2019 Program Start","","All",0,,,
14,"2020-03-30","2020-03-31","i_ELITE 2019 Program Close","","All",0,,,
15,"2019-05-31","2019-06-30","Sales June Bonus Points Incentive","","All",0,,,
16,"2019-08-17","2019-08-24","Vegas & Hollywood Trip ","","All",0,,,
17,"2020-04-01","2020-04-01","ELITE FY20","ELITE FY20 commences today","All",0,,,
18,"2020-04-01","2020-06-30","ELITE FY20 Registration 1000 point Bonus","","All",0,,,
19,"2020-06-01","2020-06-17","Navara N-TREK Walk Around competition","","All",11,"Nissan Navara N-TREK WARRIOR Walk Around Competition",,
20,"2020-07-01","2020-07-23","JUKE Walk Around competition","","All",12,"Nissan JUKE  Walk Around Competition",,
21,"2020-06-06","2020-06-27","SALES Super Saturday","","All",13,"Super Saturdays Sales",,
22,"2020-06-30","2020-07-01","Quarterly Training Points applied","ELITE FY20 QUARTERLY TRAINING POINTS","All",0,,,
23,"2020-09-30","2020-10-01","Quarterly Training Points applied","","All",0,,,
24,"2020-12-31","2021-01-01","Quarterly Training Points applied","","All",0,,,
25,"2021-03-31","2021-04-01","Q4 Training Points applied","","All",0,,,
26,"2021-03-30","2021-03-31","ELITE FY20 program Close","","All",0,,,
27,"2021-01-01","2021-03-31","CHECK YOUR ELITE FY20 CRITERIA IS COMPLETE TO EARN YOUR END $$ REWARD","Criteria must be met at 31 March to be eligible for your end year EFTPOS REWARD","All",0,,,
28,"2020-07-27","2020-08-31","Keep Safe and Innovate Competition","CE video with giftcard winners","All",0,,,
29,"2020-07-01","2020-09-30","FLEET Fast Finish $500","","All",0,,,
30,"2020-07-01","2020-09-30","LEAF i_ELITE BONUS POINTS","","All",0,,,
31,"2020-10-01","2020-12-31","AFTERSALES - Workshop Parts Sales and Customer Focus Incentive","","All",0,,,
32,"2020-10-28","2020-12-07","LEAF - Electrify your Sales Process Walkaround","","All",28,"LEAF Electrify your Sales Process",,
33,"2020-11-01","2020-12-31","SALES MANAGERS - Summer Cash Incentive","","All",0,,,
34,"2020-11-01","2020-12-31","SALES MANAGERS - GO JUKE Incentive","","All",31,"GO JUKE INCENTIVE - SALES MANAGERS",,
35,"2020-11-01","2020-12-31","RETAIL SALES CONSULTANTS - JUKE Triple i_ELITE points","","All",32,"JUKE TRIPLE ELITE POINTS - RETAIL SALES CONSULTANTS",,
36,"2021-01-01","2021-03-31","RETAIL SALES CONSULTANTS - Q4 JUKE Triple i_ELITE points","","All",34,"Q4 JUKE TRIPLE ELITE POINTS - RETAIL SALES CONSULTANTS",,
37,"2021-01-01","2021-03-31","SALES MANAGERS - Q4 JUKE Incentive","","All",33,"Q4 JUKE SALES MANAGER SPRINT INCENTIVE",,
38,"2021-03-31","2021-04-01","ELITE FY21 start date","","All",0,,,
39,"2021-04-01","2021-06-30","Q1 Fast Start 1000 Registration","","All",0,,,
40,"2021-05-31","2021-06-18","Product Challenge Registrations Open - Secure your seat with your Sales Manager","","All",0,,,
41,"2021-07-13","2021-07-14","Product Challenge Event - Adelaide - Stamford Grand Glenelg - POSTPONED","","All",0,,,
42,"2021-08-05","2021-08-06","Product Challenge - Perth - Crown Towers","","All",0,,,
43,"2021-09-07","2021-09-08","Product Challenge - Sydney- Aqua Luna - POSTPONED","","All",0,,,
44,"2021-07-22","2021-07-23","Product Challenge - Launceston- Peppers Silo - POSTPONED - new date TBA","","All",0,,,
45,"2021-08-11","2021-08-12","Product Challenge - Brisbane - Hilton Brisbane  - POSTPONED","","All",0,,,
46,"2021-08-13","2021-08-14","Product Challenge - Townsville - The Ville  - POSTPONED","","All",0,,,
47,"2021-08-17","2021-08-18","Product Challenge - Melbourne - Grand Hyatt  - POSTPONED","","All",0,,,
48,"2021-08-19","2021-08-22","THE GUILD FY20 EVENT - Noosa POSTPONED","","All",0,,,
49,"2022-03-30","2022-03-31","Q4 Training Points applied","","All",0,,,
50,"2021-12-30","2021-12-31","Q3 Training Points applied","","All",0,,,
51,"2021-09-29","2021-09-30","Q2 Training Points applied","","All",0,,,
52,"2021-06-29","2021-06-30","Q1 Training Points applied","","All",0,,,
53,"2022-03-30","2022-03-31","ELITE FY21 program Close","","All",0,,,
54,"2021-05-31","2021-06-01","ELITE FY21 Launch ","","All",0,,,
55,"2021-05-31","2021-06-30","JUKE June Cash & Triple Points Incentive","","All",39,"JUKE JUNE CASH & TRIPLE ELITE POINTS",,
56,"2021-05-31","2021-09-30","Pre-paid Maintenance ""Kick off""Incentive","","All",41,"PRE-PAID MAINTENANCE ""KICK OFF""",,
57,"2021-09-22","2021-09-23","Product Challenge - Brisbane - Hilton Brisbane","","All",0,,,
58,"2021-07-15","2021-07-16","Product Challenge - Perth - Crown Towers - POSTPONED","","All",0,,,
59,"2021-11-21","2021-11-22","Adelaide Product Challenge Event","","All",0,,,
60,"2021-11-26","2021-11-27","Townsville Product Challenge Event - CANCELLED","","All",0,,,
61,"2021-11-19","2021-11-20","Launceston Product Challenge Event - CANCELLED","","All",0,,,
62,"2021-11-23","2021-11-24","Melbourne Product Challenge Event - CANCELLED","","All",0,,,
63,"2021-08-31","2022-03-31","Turbo Charge Training Incentive - Sales","","All",0,,,
64,"2021-08-31","2021-12-31","Turbo Charge Double Points - Sales","","All",0,,,
65,"2021-08-05","2021-08-06","Perth Product Challenge Event ","","All",0,,,
66,"2021-09-22","2021-09-23","Brisbane Product Challenge Event","","All",0,,,
67,"2022-03-17","2022-03-20","THE GUILD FY20 EVENT - Noosa","","All",0,,,
68,"2021-10-31","2022-02-28","Nissan Connect Incentive - Sales","","All",0,,,
69,"2021-10-31","2022-01-31","Future Sales Incentive - Sales","","All",0,,,
70,"2022-01-01","2022-03-31","CRITERIA CHECK - LAST CHANCE TO SECURE YOUR REWARD AT MARCH 31","","All",0,,,
71,"2022-06-07","2022-06-07","i_ELITE FY22 launch",,"All",0,,"2022-06-06 04:34:11","2022-06-06 04:34:40"
72,"2022-04-01","2022-06-30","Register now for 1000 points fast start",,"All",0,,"2022-06-06 04:35:39","2022-06-06 04:35:39"
73,"2022-04-01","2022-04-01","FY22 i_ELITE commences",,"All",0,,"2022-06-06 04:36:49","2022-06-06 04:36:49"
74,"2022-06-30","2022-06-30","TRAINING POINTS QUARTERLY DUE DATE",,"All",0,,"2022-06-06 04:37:46","2022-06-06 04:40:19"
75,"2022-09-30","2022-09-30","TRAINING POINTS QUARTERLY DUE DATE",,"All",0,,"2022-06-06 04:40:49","2022-06-06 04:40:49"
76,"2022-12-31","2022-12-31","TRAINING POINTS QUARTERLY DUE DATE",,"All",0,,"2022-06-06 04:41:13","2022-06-06 04:41:13"
77,"2023-03-31","2023-03-31","TRAINING POINTS QUARTERLY DUE DATE",,"All",0,,"2022-06-06 04:41:46","2022-06-06 04:41:46"
78,"2022-09-30","2022-09-30","TRAINING - SALES/SERVICE/PARTS MANAGERS BONUS DUE DATE",,"All",0,,"2022-06-06 04:42:58","2022-06-06 04:42:58"
79,"2023-03-31","2023-03-31","TRAINING - SALES/SERVICE/PARTS MANAGERS BONUS DUE DATE",,"All",0,,"2022-06-06 04:43:21","2022-06-06 04:43:21"
80,"2023-03-31","2023-03-31","FY22 i_ELITE concludes",,"All",0,,"2022-06-06 04:44:22","2022-06-06 04:44:22"
81,"2022-07-20","2022-07-20","PRODUCT CHALLENGE - SYDNEY - AQUA LUNA 6.30PM",,"All",0,,"2022-06-06 04:46:09","2022-06-06 04:52:38"
82,"2022-08-15","2022-08-15","PRODUCT CHALLENGE - BRISBANE - HILTON BRISBANE 6.30PM",,"All",0,,"2022-06-06 04:46:59","2022-06-06 04:52:10"
83,"2022-07-22","2022-07-22","PRODUCT CHALLENGE - LAUNCESTON - PEPPERS SILO 6.30PM",,"All",0,,"2022-06-06 04:47:48","2022-06-06 04:51:53"
84,"2022-08-13","2022-08-13","PRODUCT CHALLENGE - TOWNSVILLE - THE VILLE 6.30PM",,"All",0,,"2022-06-06 04:48:30","2022-06-06 04:51:39"
85,"2022-08-17","2022-08-17","PRODUCT CHALLENGE - ADELAIDE - ADELAIDE OVAL  6.30PM",,"All",0,,"2022-06-06 04:49:19","2022-06-06 04:51:26"
86,"2022-08-19","2022-08-19","PRODUCT CHALLENGE - PERTH - CROWN TOWERS 6.30PM",,"All",0,,"2022-06-06 04:50:08","2022-06-06 04:51:14"
87,"2022-08-25","2022-08-25","PRODUCT CHALLENGE - MELBOURNE - GRAND HYATT  6.30PM",,"All",0,,"2022-06-06 04:51:00","2022-06-06 04:51:00"
88,"2022-08-31","2022-11-04","Settle the Metal Incentive - Retail Sales Consultants. Fleet Sales Executives and F & I Managers",,"All",47,,"2022-09-02 03:31:04","2022-09-02 03:31:45"
89,"2022-06-30","2022-08-31","Nissan Intelligent Choice - Dealer Excellence and i_ELITE points enhanced Incentive - Sales and Stock",,"All",46,,"2022-09-02 03:36:10","2022-09-02 03:36:10"
90,"2022-11-01","2022-11-30","Watch new Model Sales information Videos",,"All",49,,"2023-02-13 04:04:57","2023-02-13 04:09:14"
91,"2022-11-01","2023-01-31","Move Up i_ELITE Bonus Points",,"All",52,,"2023-02-13 04:07:19","2023-02-13 04:07:19"
92,"2022-11-01","2023-01-31","It's Show Time - New Model Showroom",,"All",51,,"2023-02-13 04:08:20","2023-02-13 04:08:20"
93,"2022-11-01","2022-12-31","Aftersales Bumper Incentive",,"All",50,,"2023-02-13 04:10:29","2023-02-13 04:10:29"
94,"2022-10-01","2023-03-31","Fleet Online Training Bonus Points",,"All",48,,"2023-02-13 04:12:59","2023-02-13 04:12:59"
95,"2023-02-01","2023-02-28","2023 New Year NFV Incentive",,"All",54,,"2023-02-13 04:13:46","2023-02-13 04:13:46"
96,"2023-04-01","2023-04-01","FY23 i_ELITE commences",,"All",0,,"2023-02-13 04:15:41","2023-02-13 04:16:53"
