_amb_id,yr_2017
404,7080
794,13950
801,14040
828,11500
856,11450
889,13850
971,10340
1106,6440
1124,4540
1192,10500
1501,5640
1579,10690
1680,9950
1738,13500
1803,8100
1876,9890
2185,18490
2410,18400
2597,10900
2642,9850
2821,15400
3025,8080
3038,22630
3086,16330
3479,19840
3587,14270
3802,22150
3813,14150
3826,400
3831,23600
3921,4830
3935,12800
3988,10330
4043,21950
4175,12820
4245,4190
4313,
4552,400
4622,15530
5011,15600
5058,6650
5136,3400
5295,14900
5355,13620
5396,28350
5413,4950
5448,17300
5463,4950
5487,9850
5583,9780
5589,11800
5657,4700
5662,10260
5724,11750
5759,6850
5882,16120
5955,9960
6237,1400
6246,2450
6309,5890
6310,17130
6439,9250
6536,11900
6544,5400
6589,9050
6728,16060
10355,19100
10450,20210
10454,10330
10506,16800
10794,35550
10802,13670
10887,6650
11363,16530
11957,30490
12838,9690
14133,31850
14344,25630
14536,28850
14580,30180
14840,3990
14908,30430
15178,31550
15299,19410
15373,41930
15424,23570
15495,23050
15509,36190
15514,23290
15606,19210
15632,15700
15777,25390
16071,21990
16130,5730
16273,3880
16327,30990
16344,2280
16407,10550
16615,14130
16653,42900
16658,47480
16663,7730
16676,33530
16695,13750
16711,42680
16732,7000
16748,2560
16790,29190
16883,16650
17147,27250
17315,28330
17425,14230
17450,22200
17690,43030
17693,28850
17772,26210
17850,24270
17851,19730
17870,36150
17915,31610
18031,8210
18173,31300
18179,24180
18182,37110
18276,41370
18488,11490
18495,9880
18585,21070
18661,40460
18667,17200
18696,16360
18717,29100
18720,55700
18741,4200
18742,23130
18757,19730
18822,29820
18872,28810
18946,24470
19111,35940
19122,24910
19140,14950
19150,6050
19153,1750
19162,33250
19172,14850
19178,5600
19180,8880
19185,10950
19187,9050
19194,43250
19197,27850
19198,12150
19203,7450
19212,24950
19227,10200
19282,27200
19283,12250
19293,23250
19311,13250
19343,8050
19345,10820
19403,16650
19438,0
19470,10050
19508,1225
19535,13680
19550,6840
19587,26180
19616,27250
19695,46750
19754,20350
19804,11650
19812,8250
19875,10450
19886,10590
19894,2550
19901,17830
19904,13750
19921,25650
19978,22650
20046,8950
20048,7150
20073,16840
20091,2240
20128,22150
20162,6990
20168,5450
20247,33490
20261,4980
20264,53140
20294,11700
20302,13250
20307,9990
20341,23000
20343,23650
20347,2650
20386,8660
20428,6980
20479,3150
20482,22760
20517,16630
20550,9130
20553,7680
20626,5780
20716,26650
20754,14970
20824,27850
20871,7650
20879,7210
20905,8720
20911,29850
20943,7460
20945,6620
20955,6250
20980,28350
20993,29150
21001,3000
21139,30340
21217,4440
21218,29190
21255,17286
21314,20350
21315,
21316,15800
21337,9310
21425,30650
21458,27630
21459,39250
21482,25490
21503,12950
21556,6970
21585,3760
21592,840
21629,11050
21637,25660
21640,35530
21675,15580
21692,17950
21774,24310
21800,6750
21807,12685
21826,17545
21831,38330
21875,2000
21909,7250
21923,16120
21951,14550
21975,13490
21985,19530
21986,21530
21993,3700
21998,30850
22018,6390
22033,6850
22068,11390
22097,16250
22116,17950
22131,6800
22190,19360
22194,18050
22199,56230
22216,7200
22218,7450
22274,19380
22290,
22294,22250
22325,10950
22328,9550
22353,6250
22381,6600
22402,9200
22404,600
22405,10650
22411,16630
22412,18490
22416,7150
22417,6290
22419,26280
22428,12650
22434,13750
22438,16100
22445,12550
22487,8760
22489,7550
22547,11300
22556,16050
22604,12650
22633,17180
22704,7680
22710,30870
22717,5400
22743,14470
22782,19280
22785,14850
22786,7230
22793,9750
22843,32970
22882,16910
22888,5950
22998,12395
23004,1950
23010,30750
23027,18550
23037,10900
23059,3650
23068,5050
23087,6800
23136,21700
23138,8150
23175,9650
23194,5300
23210,6250
23219,7550
23258,28340
23265,1900
23277,6750
23297,30610
23299,2350
23303,5850
23320,16230
23341,16970
23342,23920
23347,8360
23350,24960
23361,19540
23367,15640
23368,23310
23378,16120
23421,24190
23423,8250
23456,23690
23463,10950
23464,21690
23483,8690
23488,12190
23522,13550
23524,9610
23553,19890
23563,520
23574,27590
23593,35200
23596,4090
23597,29970
23598,23810
23616,17690
23618,11400
23633,13380
23640,1040
23642,13130
23651,16250
23661,2490
23679,18650
23683,25250
23684,6550
23701,5300
23716,4300
23727,12350
23737,30040
23759,19990
23764,8750
23769,12740
23800,21050
23808,12525
23811,7000
23813,9850
23841,7450
23842,12650
23870,18675
23896,15250
23905,28110
23914,8450
23939,17420
23955,35490
23993,17250
24006,9550
24030,6450
24043,43800
24068,0
24070,4050
24106,19190
24120,5200
24123,12450
24136,8380
24156,16040
24176,7650
24184,17050
24186,19550
24187,22150
24193,11250
24215,850
24219,22850
24222,41750
24240,23440
24253,17250
24256,17650
24279,21990
24300,12450
24301,13150
24312,14750
24337,31230
24348,27165
24355,18700
24364,19290
24416,7000
24442,5750
24448,18270
24461,36290
24472,38650
24476,12320
24561,3400
24562,800
24570,15050
24571,42850
24617,6250
24622,14380
24629,2170
24649,11850
24675,6550
24681,43620
24682,21750
24684,25250
24722,25650
24723,24010
24775,11300
24782,16120
24787,11900
24804,15470
24817,27850
24819,3350
24822,24550
24825,22490
24830,11200
24839,14270
24847,13190
24860,19845
24904,6450
24918,23350
24929,9690
24938,18200
24949,3720
24953,2500
24957,1200
24981,28660
25015,13575
25058,7240
25146,23650
25151,9970
25167,10550
25170,13050
25195,8400
25208,17875
25241,8625
25245,11025
25246,8360
25259,13215
25270,18688
25290,13275
25297,13250
25316,14225
25318,17325
25323,18150
25362,6900
25387,2300
25388,19332
25406,23918
25417,12575
25451,16950
25523,15950
25532,2250
25552,11000
25569,17080
25572,7550
25584,31490
25586,19390
25616,11950
25623,38590
25634,1200
25682,320
25697,23950
25927,6640
25932,20650
25997,450
26001,3700
26022,6940
26050,10530
26051,7810
26056,20600
26057,8480
26095,11600
26097,11450
26130,9070
26137,2910
26161,16460
26167,3430
26185,15790
26190,15960
26203,5220
26206,7630
26238,10050
26285,3010
26306,9730
26342,25650
26363,36990
26373,13890
26419,6400
26445,37850
26446,62410
26449,14250
26454,4830
26460,14525
26481,27130
26492,10850
26507,2800
26511,1850
26582,14850
26614,20730
26677,24870
26704,11580
26713,11800
26730,8450
26735,18060
26738,550
26748,18530
26753,13770
26757,250
26840,13400
26854,4350
26872,1900
26876,35610
26925,28890
26930,13050
26957,15625
27010,7900
27026,28010
27042,16950
27107,23600
27216,27210
27223,41280
27245,5750
27291,14075
27294,2850
27301,10790
27310,5970
27314,31550
27320,38350
27332,13640
27383,3650
27388,25150
27420,5850
27422,16570
27431,3170
27433,6150
27463,19310
27487,21350
27489,5600
27535,26070
27536,5960
27540,8650
27547,21950
27557,6220
27568,25530
27576,19350
27608,27190
27620,27820
27622,16390
27628,26250
27639,11310
27647,20150
27655,6100
27665,28265
27672,6000
27682,3500
27686,20210
27692,7210
27712,21530
27713,15610
27714,1850
27794,4200
27811,12430
27815,8300
27825,6550
27830,6300
27852,16370
27863,10350
27866,27150
27969,5510
27979,5700
28007,4950
28017,15350
28046,10550
28072,3100
28105,17350
28131,34330
28137,17330
28150,27210
28153,18790
28154,16070
28155,16350
28163,15680
28164,6300
28176,4180
28180,27250
28189,21750
28190,5750
28194,12620
28197,5430
28204,5770
28216,6650
28229,11580
28244,10750
28250,13650
28274,1200
28285,4290
28288,2100
28294,6850
28310,20230
28314,14319
28321,8870
28381,8550
28390,9790
28410,13590
28419,10350
28424,33640
28427,11310
28443,48810
28460,3200
28470,10850
28475,3320
28551,4650
28563,15790
28564,12330
28579,11970
28582,44350
28587,20270
28616,12150
28634,26530
28648,9230
28654,24010
28660,12750
28662,12750
28663,12750
28701,15820
28707,11620
28772,11700
28782,10880
28820,1750
28830,21675
28839,9520
28844,11410
28848,3120
28855,15920
28859,10950
28903,6080
28909,8890
28929,6350
28933,16540
28937,3865
28942,25930
28944,8990
28963,20750
28975,6290
28979,15250
29006,10700
29011,11950
29012,9700
29015,8450
29037,6340
29043,12000
29052,27390
29065,6400
29067,19470
29078,15430
29089,5000
29094,10650
29102,2550
29106,7800
29124,45730
29136,29210
29145,11300
29153,8245
29183,2080
29188,12380
29197,27750
29214,7450
29243,14490
29256,850
29258,47450
29273,7730
29290,17255
29301,7200
29307,32460
29311,0
29336,29210
29337,23550
29340,4800
29341,6080
29356,12920
29369,5990
29378,5700
29382,2090
29389,3350
29411,3650
29413,0
29422,2300
29452,26410
29460,9205
29472,8780
29500,58270
29506,2885
29517,5420
29527,1790
29528,1000
29573,11085
29583,30640
29589,0
29604,7230
29623,9900
29632,2290
29638,26670
29650,32250
29651,7780
29666,3750
29672,12425
29681,10950
29682,35300
29683,18750
29687,16500
29721,1050
29728,8450
29740,7680
29747,19940
29782,13150
29786,15650
29794,12100
29808,250
29834,
29835,
