_amb_id,yr_2016,yr_2015,yr_2015_FF,yr_2014,yr_2013,yr_2012,yr_2011,yr_2010,yr_2009,yr_2008,yr_2007,yr_2006,yr_2005,yr_2004,yr_2003,yr_2002,yr_2001,yr_2000,yr_1999,yr_1998,yr_1997,yr_1996,yr_1995,yr_1994,yr_1993,yr_1992
404,7910,8740,2440,10070,3220,2390,8270,17830,13300,9400,4400,1600,,,,,,,,,,,,,,
794,28050,18050,5250,19820,15170,4580,7810,10640,13150,10575,,,,,,,,,,,,,,,,
801,2280,6540,3360,5540,1500,410,1410,2290,3000,2750,,,,,,,,,,,,,,,,
828,2100,6000,1000,4500,14250,2450,,,,,,,,,,,,,,,,,,,,
856,14150,10500,3500,7750,,,,,,,,,,,,,,,,,,,,,,
889,9000,,,,,,,,,,,,,,,,,,,,,,,,,
971,8760,23640,1690,21266,16660,19520,21280,42735,26550,10675,,,,,,,,,,,,,,,,
1106,10320,23690,7990,23540,40260,10880,16740,27475,9910,,,,,,,,,,,,,,,,,
1124,3820,,,,,,,,,,,,,,,,,,,,,,,,,
1192,9650,7850,2200,6000,2750,1200,8700,3050,,,,,,,,,,,,,,,,,,
1261,11200,6800,2500,5500,8050,1500,1750,6750,8250,2750,,,,,,,,,,,,,,,,
1382,3300,16200,2540,1500,6450,,,,,,,,,,,,,,,,,,,,,
1501,6770,23890,4290,13590,20180,22780,23090,20115,,,,,,,,,,,,,,,,,,
1579,9010,23490,890,19916,17790,12690,25630,44435,21350,10675,3000,2025,,,,,,,,,,,,,,
1618,3300,,1300,,,,,,,,,,,,,,,,,,,,,,,
1680,14590,26700,5640,10440,4160,1830,13550,15580,12250,8225,,,,,,,,,,,,,,,,
1738,10650,8000,2850,4500,,,,,,,,,,,,,,,,,,,,,,
1803,12150,9350,3800,0,1250,1500,4400,8080,3750,0,,,,,,,,,,,,,,,,
1876,10170,,,,,,,,,,,,,,,,,,,,,,,,,
2135,5500,18500,3550,10700,12020,24130,11250,6500,5750,6675,,,,,,,,,,,,,,,,
2185,26150,25450,9600,26000,21770,66785,41145,89750,58155,16850,18150,3025,,,,,,,,,,,,,,
2383,11800,16790,3350,11450,4650,15030,23355,42245,22210,18250,,,,,,,,,,,,,,,,
2388,17650,35890,10850,31200,52250,34780,44005,58795,28710,14850,,,,,,,,,,,,,,,,
2410,23500,15700,4650,14450,8500,9250,6450,12000,9500,6500,,,,,,,,,,,,,,,,
2597,6100,12150,3000,4250,2000,3750,7000,5000,750,4750,2600,1350,,,,,,,,,,,,,,
2599,17280,33340,3290,,,,,,,,,,,,,,,,,,,,,,,
2642,13640,13950,4350,19500,15990,6830,8055,7870,13250,9000,,,,,,,,,,,,,,,,
2821,21250,15000,5150,8750,8250,3800,3950,4100,3250,1000,,,,,,,,,,,,,,,,
3038,9940,19420,4280,27250,37840,20625,5200,18050,9600,5050,,,,,,,,,,,,,,,,
3086,35060,23960,6070,11290,15250,14150,11620,23655,13890,5000,,,,,,,,,,,,,,,,
3341,15990,23090,4540,10650,8840,5440,6650,8990,16200,6175,,,,,,,,,,,,,,,,
3479,25100,47780,11350,56090,38740,57635,38045,52430,12205,14750,,,,,,,,,,,,,,,,
3587,11200,18730,2890,8680,20450,11480,10020,7230,75,500,,,,,,,,,,,,,,,,
3714,10450,17880,4400,12420,10940,9080,9260,6990,7975,12050,,,,,,,,,,,,,,,,
3802,18250,,,,,,,,,,,,,,,,,,,,,,,,,
3813,17700,13750,5750,6600,5250,4250,3500,250,1500,1000,,,,,,,,,,,,,,,,
3826,,1200,100,0,0,3000,5750,6050,0,,,,,,,,,,,,,,,,,
3831,19350,14200,3250,12850,6250,7740,10165,15500,4950,5850,8600,1200,,,,,,,,,,,,,,
3921,1040,12140,550,5750,3290,4000,5830,1620,25,4300,,,,,,,,,,,,,,,,
3935,18430,17970,3650,9120,8310,6040,1820,1070,5050,2000,,,,,,,,,,,,,,,,
3988,3630,12800,1790,12590,14290,7570,3170,870,,,,,,,,,,,,,,,,,,
4043,26000,18100,4050,27650,18650,14540,14165,14500,4950,7250,9100,1200,,,,,,,,,,,,,,
4078,2590,8090,2700,2290,5330,1290,1540,8660,11150,3300,,,,,,,,,,,,,,,,
4175,16540,37460,6520,33820,36630,27735,18120,34855,17390,6375,,,,,,,,,,,,,,,,
4245,3100,8050,3050,13500,13250,800,7000,6990,4850,3925,,,,,,,,,,,,,,,,
4281,15290,13850,6440,18200,18000,9410,10670,13220,9800,8525,,,,,,,,,,,,,,,,
4313,,3900,900,600,250,1000,4250,6250,8250,3000,3100,,,,,,,,,,,,,,,
4411,6350,12750,2500,9250,6950,500,1080,2500,1625,500,,,,,,,,,,,,,,,,
4552,140,1900,100,600,250,0,0,,,,,,,,,,,,,,,,,,,
4622,20270,23960,5780,38600,20990,26630,27935,30340,10850,12200,3550,1925,,,,,,,,,,,,,,
4928,10730,19480,3670,14380,13280,11490,10765,32300,28610,15225,,,,,,,,,,,,,,,,
5011,8650,7700,3400,9000,8250,5250,5250,5000,1550,0,,,,,,,,,,,,,,,,
5058,12550,19200,5000,15700,31950,12100,34615,22230,19530,11550,,,,,,,,,,,,,,,,
5136,,,,,,,,,,,,,,,,,,,,,,,,,,
5295,,,,,,,,,,,,,,,,,,,,,,,,,,
5355,12750,20530,3240,11930,22200,16520,10190,,,,,,,,,,,,,,,,,,,
5396,38050,49100,8250,24250,26870,30300,,,,,,,,,,,,,,,,,,,,
5413,3850,,,,,,,,,,,,,,,,,,,,,,,,,
5448,21250,36600,4250,33520,38200,23800,9000,12525,12000,11100,7100,1600,,,,,,,,,,,,,,
5463,2250,6500,2000,7000,7000,1750,500,4000,5500,0,,,,,,,,,,,,,,,,
5487,7850,16950,4450,19550,23250,10500,12250,11050,12500,4000,,,,,,,,,,,,,,,,
5557,7860,17290,3840,30830,31595,21270,17520,26680,12650,9000,,,,,,,,,,,,,,,,
5583,17870,37750,8500,20260,39140,2880,8140,5390,2775,7250,,,,,,,,,,,,,,,,
5589,20900,27250,6400,32650,23550,11500,4200,1540,0,0,,,,,,,,,,,,,,,,
5647,2740,6540,3550,2540,6580,4290,5790,7410,10400,4150,,,,,,,,,,,,,,,,
5657,13630,25100,7820,27880,31570,22040,15365,43350,30860,15225,,,,,,,,,,,,,,,,
5662,8830,14970,1480,14210,5870,6440,23775,21385,18410,11725,,,,,,,,,,,,,,,,
5724,7850,5750,1950,5000,4750,5000,3000,8330,2750,5000,,,,,,,,,,,,,,,,
5759,7150,,,,,,,,,,,,,,,,,,,,,,,,,
5882,1780,,,,,,,,,,,,,,,,,,,,,,,,,
5967,8550,17900,3150,5450,3200,610,1850,600,4900,1525,100,,,,,,,,,,,,,,,
6018,11900,12090,2640,20100,16250,9790,10330,9500,11550,12000,,,,,,,,,,,,,,,,
6051,10090,12140,4990,5500,3290,2390,5000,2675,,,,,,,,,,,,,,,,,,
6309,6770,22540,4040,11590,19750,12370,16940,25425,15510,5575,,,,,,,,,,,,,,,,
6310,23150,30068,9010,19560,8120,5750,2290,9750,6750,3500,,,,,,,,,,,,,,,,
6385,1800,,3450,,,,,,,,,,,,,,,,,,,,,,,
6439,11350,22200,1750,15500,21325,16250,,,,,,,,,,,,,,,,,,,,
6536,5450,12200,2950,12500,12000,250,2000,2250,1050,3000,,,,,,,,,,,,,,,,
6715,10250,10400,1400,,,,,,,,,,,,,,,,,,,,,,,
6728,22580,15150,4200,10100,4020,4310,4590,2580,12375,6000,,,,,,,,,,,,,,,,
7008,3950,13500,3200,9000,5500,6250,4500,3250,2500,1250,,,,,,,,,,,,,,,,
10095,25470,18670,3500,13328,9064,13122,19768,14696,21960,25290,23625,18730,16420,16420,17210,5530,2240,3220,5130,5900,5200,3450,1750,2570,5990,2803
10355,15550,14870,6520,10740,5610,13962,13756,4552,5760,8698,11043,17210,13010,9630,7650,7950,6530,5590,10220,11695,4000,2560,1655,13250,15100,7134
10450,30300,21090,7250,7200,12840,20010,17600,14120,22740,22100,27250,26080,19160,24460,18420,18530,12110,5010,13360,17320,13260,34015,20130,24415,24904,13724
10454,10550,11256,3870,7060,5340,17058,9714,5384,6760,7890,16825,14615,13410,9560,10970,7530,6540,5050,7600,13370,7230,19761,19574,20286,15310,2680
10506,30870,17040,9550,3150,6140,11810,19130,10485,22780,22600,20540,28400,7830,9180,7640,19290,16930,13380,22860,43690,25230,17830,9557,7025,11511,2560
10525,22710,12300,4190,12680,10158,15540,16674,10604,15075,20215,15480,17000,11460,11140,17420,11980,6960,4620,16450,15160,200,10390,6200,19000,23810,13026
10794,31440,34420,4680,22900,21980,38010,35840,30668,31775,39910,40925,37485,30460,30960,24200,20410,15070,16140,10880,14625,9490,29020,14040,17920,19927,6438
10802,31800,34320,6960,25860,13670,20800,23290,13830,7080,4340,5368,7500,2320,19740,21760,7560,6650,5640,5940,10200,3600,2620,3080,4450,2280,1455
10887,10110,4320,640,13170,,,,,,,,,,,,,,,,,,,,,,
11363,51190,25688,9510,24510,36416,43170,35070,15540,21425,29813,16775,25475,33480,32540,11840,2688,10180,10720,7840,17305,25670,24648,19008,7677,9417,875
11396,6290,12888,400,11040,8260,6868,9042,19822,19290,13520,37880,34180,10400,14720,28700,17460,24030,18590,16730,11650,11720,8450,14850,8000,20020,200
11957,40270,27372,8700,1660,24380,37574,27744,24548,26620,28015,38218,53555,27210,22800,32160,27760,13740,9360,30000,23320,26740,34990,40161,32983,3775,
12345,250,1450,0,,,,,,,,,,,,,,,,,,,,,,,
12359,35030,37054,15198,18920,39670,38908,29758,17808,17050,39045,37650,27235,36270,44140,35460,43990,28860,25450,24430,27920,21580,24460,16399,10909,,
12838,11770,11222,4910,10300,7130,15178,10210,9820,10450,15860,31280,17790,23710,22260,22560,13500,180,10290,7950,13840,4940,4380,560,0,0,0
13508,16950,14540,4296,16690,70160,30770,27510,20980,21400,31620,31510,11113,11020,10640,21000,16020,11650,6920,27610,45800,58320,17898,,,,
14013,17590,17460,5370,17758,30574,25472,26786,21352,25150,18495,18550,20820,23100,26280,24580,20080,11180,20900,22290,29235,21430,,,,,
14133,27450,39580,9290,27920,21388,38360,28330,17560,39980,43460,38580,28815,23265,17230,22860,16380,10750,13620,14950,35575,11900,,,,,
14344,10620,12170,4630,,,,,,,,,,,,,,,,,,,,,,,
14536,23860,25470,5500,10920,15240,18280,17320,11690,9540,24920,31480,15730,12600,18300,14680,23680,22570,22330,24980,14180,,,,,,
14580,25260,34600,5000,22940,11440,2250,0,8135,25350,39840,43680,37780,17920,28680,41360,15120,15370,17200,21470,15620,,,,,,
14682,14450,24530,4930,12230,5460,16810,12150,8720,10300,7150,6365,4740,6530,7830,9950,6460,6260,5420,6010,1075,,,,,,
14840,4020,2320,540,6220,3950,2600,3570,1560,2375,3160,3600,300,630,5850,4320,6300,7590,9290,7320,,,,,,,
14908,46630,18220,9366,20714,28898,33320,29610,19536,24505,19975,14435,16095,18300,23620,31600,25350,24720,22210,7650,,,,,,,
15016,18960,27280,3830,41620,40990,33920,37716,39700,26240,50020,42265,59440,43380,42120,28340,23120,21120,17750,5040,,,,,,,
15177,27110,40970,6130,18500,24390,35420,29120,24640,42720,28160,8510,11080,11360,19620,41100,21440,28530,17220,,,,,,,,
15178,24090,38670,3850,32520,29250,11940,8192,3912,7500,6713,5781,4543,4065,11520,13020,10390,7070,6290,,,,,,,,
15299,,,,,,,,,,,,,,,,,,,,,,,,,,
15366,33930,30572,11670,32790,24986,30940,33678,35740,36105,46225,31805,38400,42580,36040,17410,17870,10920,5560,,,,,,,,
15373,42920,50140,14070,30310,39775,37150,30710,25720,45540,45280,31620,25700,13100,3200,4650,2700,2410,1820,,,,,,,,
15424,23100,12420,5250,15960,11120,19030,26510,48920,33260,35400,39340,42200,23980,30160,19180,24090,17390,6100,,,,,,,,
15495,24350,28570,2750,8660,11150,,,,,,,,,,,,,,,,,,,,,
15509,27650,19678,4294,7992,8580,12624,13030,6026,7230,10310,12995,15040,4100,8340,6750,1260,4940,,,,,,,,,
15514,28870,40688,5374,28832,24080,33404,26434,29456,33575,39650,47225,34570,30950,24200,22360,14010,5170,160,,,,,,,,
15606,23150,21140,4274,20422,17694,23432,24476,20320,22850,49225,17078,30390,24740,24160,15440,8310,5160,,,,,,,,,
15632,21050,21450,2800,11500,5360,18390,18370,7265,7560,3510,2800,19880,13760,5600,,5720,7310,,,,,,,,,
15777,19280,33590,8360,13890,15210,17860,12310,9160,9140,3745,24755,30685,25280,22180,26580,24020,5340,,,,,,,,,
16020,30910,25276,10820,19842,24138,26904,22560,17812,25120,39675,27810,32760,20460,22920,38380,29700,,,,,,,,,,
16071,34250,20312,8790,27438,22390,29180,28050,23280,36750,39275,27650,18695,20020,21120,21360,10080,,,,,,,,,,
16085,22800,31190,7070,10880,20350,19820,17640,28200,26660,20970,15910,16000,8080,3800,0,1000,,,,,,,,,,
