_amb_id,yr_2017
404,1400
794,0
801,500
828,1250
856,850
889,0
971,640
1106,0
1124,480
1192,1200
1261,1050
1382,600
1501,0
1579,1240
1618,1250
1680,350
1738,700
1803,700
1876,320
2135,600
2185,3500
2383,950
2388,950
2410,1100
2597,1200
2599,40
2642,500
2821,1400
3038,3500
3086,2500
3341,1100
3479,1100
3587,1450
3714,1000
3802,0
3813,3650
3826,0
3831,1250
3921,1040
3935,1300
3988,250
4043,900
4078,0
4175,1440
4245,0
4281,640
4313,0
4411,1050
4552,0
4622,3350
4928,700
5011,850
5058,350
5136,0
5295,400
5355,1450
5396,2950
5413,440
5448,350
5463,500
5487,0
5557,950
5583,1000
5589,1450
5647,0
5657,700
5662,730
5724,0
5759,900
5882,1180
5967,250
6018,2150
6051,3350
6309,250
6310,600
6385,350
6439,1300
6536,1700
6715,250
6728,1650
7008,0
10095,1800
10355,1300
10450,1550
10454,610
10506,300
10525,1030
10794,2600
10802,2100
10887,450
11363,1250
11396,40
11957,2280
12345,0
12359,680
12838,490
13508,80
14013,160
14133,2240
14344,950
14536,2350
14580,2680
14682,1780
14840,500
14908,2270
15016,2100
15177,3850
15178,1300
15299,2070
15366,1400
15373,5470
15424,1350
15495,1300
15509,2350
15514,1280
15606,1130
15632,1300
15777,1350
16020,760
16071,1090
16085,3040
16130,0
16273,0
16327,2640
16344,520
16351,200
16407,3000
16458,250
16532,0
16534,2100
16615,640
16653,4500
16658,1950
16663,260
16676,3030
16695,1050
16711,2300
16732,160
16777,2350
16790,1950
16813,400
16883,1500
17147,3570
17315,2400
17425,1450
17450,300
17645,2280
17690,2740
17693,2050
17772,2770
17819,1750
17850,1320
17851,1140
17858,2210
17870,4100
17915,1860
17964,0
18031,120
18173,2690
18179,1550
18182,4850
18276,800
18334,5190
18421,2500
18430,520
18488,410
18495,600
18520,20
18585,640
18661,4050
18667,120
18668,330
18717,2250
18720,4600
18741,500
18742,1730
18750,1100
18757,1080
18822,2650
18872,1640
18918,160
18946,960
19048,280
19111,1550
19122,1400
19140,700
19150,360
19162,5250
19172,2300
19178,1700
19180,650
19185,0
19187,1550
19194,2250
19197,4950
19198,4550
19199,2550
19203,1300
19208,700
19212,2300
19283,2700
19293,700
19311,1700
19343,2300
19345,330
19346,2000
19403,2000
19426,1000
19438,0
19465,0
19470,2550
19506,1320
19535,870
19550,830
19587,690
19588,1000
19612,0
19616,1100
19639,3060
19652,0
19695,5350
19707,2700
19754,2550
19793,2300
19804,1550
19812,700
19875,850
19886,740
19894,2550
19901,1850
19904,850
19921,6250
19943,1180
19978,1950
20035,700
20042,0
20046,250
20048,0
20059,2250
20073,1100
20128,2550
20168,1300
20202,0
20243,350
20247,1840
20261,1040
20264,6040
20302,1300
20307,500
20338,1700
20341,2650
20343,1710
20347,0
20365,580
20386,390
20428,500
20479,0
20482,1600
20517,1450
20550,1350
20553,0
20626,0
20653,1700
20699,800
20701,1300
20716,2850
20752,1610
20754,1440
20776,1100
20824,3970
20871,0
20879,530
20905,900
20911,2250
20934,2550
20945,450
20953,300
20955,2250
20980,2350
20993,1800
21001,0
21006,0
21139,2060
21217,1160
21218,1850
21255,1140
21294,1300
21311,0
21314,1300
21315,0
