id,parent_id,"code","name","address","suburb","state","postcode","country","phone","fax","region","region_code","category","category_code",active
2596,1,"1586","Col Crawford Nissan","497 Pittwater Road","BROOKVALE","NSW","2100","Australia","(02) 9941 1200","299383691","E","E06","A","1",1
2597,1,"2075","Leo Franco Nissan","Cnr Yambil & Ulong Streets","GRIFFITH","NSW","2680","Australia","02   69692800","02 69692860","E","E05","B","2",1
2598,1,"2210","Ross Granata Motors","32 Sydney Road","MUDGEE","NSW","2850","Australia","02   63721766","02 6372 3735","E","E02","C","2",1
2599,1,"2300","Kloster Nissan","Cnr. Tudor And Parry Streets","HAMILTON","NSW","2303","Australia","02   49220595","02 49610543","E","E03","A","2",1
2600,1,"2402","Frank Spice Auto Repairs","22 Dowling Street","FORBES","NSW","2871","Australia","02   68519400","02 68524089","E","E02","C","1",1
2601,1,"2455","Gaukroger Nissan","26-30 Vivian Street","INVERELL","NSW","2360","Australia","02   67222722","02 67221804","E","E03","C","1",1
2602,1,"2509","J T Fossey Sales Pty Ltd","501 Peel Street","TAMWORTH","NSW","2340","Australia","02   67661466","02 67668566","E","E03","C","1",1
2603,1,"2550","John Oxley Motors","130 Hastings River Drive","PORT MACQUARIE","NSW","2444","Australia","02   65888555","02 65840554","E","E01","B","2",1
2604,1,"2696","National Capital Motors","Josephson Street","BELCONNEN","ACT","2617","Australia","02   62563300","02 62511901","E","E05","B","1",1
2605,1,"3030","Werribee Nissan","14-26 Heaths Road","HOPPERS CROSSING","VIC","3029","Australia","03   99745800","03 99745825","S","S13","A","1",1
2606,1,"3125","McRae Nissan","182 Melbourne Road","WODONGA","VIC","3690","Australia","02   60515555","02 60515568","S","S14","B","1",1
2607,1,"3150","Ferntree Gully Nissan","1000 Burwood Highway","FERNTREE GULLY","VIC","3156","Australia","03   97584444","03 97585456","S","S12","A","1",1
2608,1,"3376","Northern Nissan","429-439 Grimshaw Street","BUNDOORA","VIC","3083","Australia","03   94665888","03 94677463","S","S15","A","1",1
2609,1,"3432","Blackburn Nissan","138 Whitehorse Road","BLACKBURN","VIC","3130","Australia","03   98942244","03 98942944","S","S13","A","1",1
2610,1,"3483","Edney's Leongatha","1 Roughead Street","LEONGATHA","VIC","3953","Australia","03   56622327","03 56622642","S","S11","C","1",1
2611,1,"3806","Berwick Nissan","6-10 Kangan Drive","BERWICK","VIC","3806","Australia","03   97961777","03 97073550","S","S15","A","1",1
2612,1,"3814","Lieschke Nissan","63 Commercial Street","WALLA WALLA","NSW","2659","Australia","02   60292202","02 60292134","S","S15","C","2",1
2613,1,"3936","Michaels Of Donald","15 McCulloch Street","DONALD","VIC","3480","Australia","03   54971203","03 54971626","S","S15","C","2",1
